topic,sub_topic,metric_name,metric_vars_prefix,quality_variable,ci_var,subgroup_id,metrics_description,source_data,source_data2,notes,notes2,notes3
family,financial_well_being,Income,pctl,pctl_quality,2,race_ethnicity,"Metric: Household income at the 20th, 50th, and 80th percentiles","American Community Survey (ACS) Public Use Microdata Sample (PUMS), 2018","American Community Survey (ACS) Public Use Microdata Sample (PUMS), 2018 (5-yr)","To identify income percentiles, all households are ranked by income from lowest to highest. The income level at the threshold between the poorest 20 percent of households and the richest 80 percent is the 20th percentile. Similarly, the threshold between the poorest and richest halves is the 50th percentile income (or median), and threshold between the poorest 80 percent and richest 20 percent is the 80th percentile.",,
family,financial_well_being,Financial security,share_debt_coll,share_debt_coll_quality,1,race_share,Metric: Share with debt in collections,"Credit Bureau data, 2018",,The share of people in an area with a credit bureau record with debt that has progressed from being past-due to being in collections.,<br><br>'Majority' means that at least 60% of residents in a ZIP code are members of the specified population group. ,
family,housing,Affordable housing,share_affordable,housing_quality,3,none,"Metric: Ratio of affordable housing units per 100 households with low-, very low-, and extremely low-income levels","U.S. Department of Housing and Urban Development Office of Policy Development and Research (HUD PD&R) Fair Market Rents and Income Limits, 2018; American Community Survey, 2018","U.S. Department of Housing and Urban Development Office of Policy Development and Research (HUD PD&R) Fair Market Rents and Income Limits, 2018 & 2014; American Community Survey, 2018 & 2014","This metric reports the number of available housing units affordable for households with low-incomes (below 80 percent of area median income, or AMI), very low-incomes (below 50 percent of AMI), and extremely low-incomes (below 30 percent of AMI) relative to every 100 households with these income levels. Housing units are defined as affordable if the monthly costs do not exceed 30 percent of a household's income. Values above 100 suggest that there are more affordable housing units than households with those income levels. Values below 100 indicate a shortage of affordable housing for households with those income levels. Housing units are counted as affordable for a given income level regardless of whether they are currently occupied by a household at that income level.",,
family,housing,Rent burden,share_burdened,rent_quality,3,none,"Metric: Share of households experiencing severe rent burden, or paying more than half of their income towards rent","U.S. Department of Housing and Urban Development Office of Policy Development and Research (HUD PD&R) Fair Market Rents and Income Limits, 2018; American Community Survey, 2018","U.S. Department of Housing and Urban Development Office of Policy Development and Research (HUD PD&R) Fair Market Rents and Income Limits, 2018 & 2014; American Community Survey, 2018 & 2014","This metric reports the share of low-income households at three income levels, low-income (below 80 percent of area median income, or AMI), very low-income (below 50 percent of AMI), and extremely low-income (below 30 percent of AMI), that spend more than half (>50%) of their household income on rent. Values range from 0 to 100 percent. The larger the percentage, the more severe rent burden being experienced in the jurisdiction among the specified low-income households.",,
family,housing,Housing instability and homelessness,homeless_,homeless_quality,1,none,Metric: Number and share  of public-school children who are homeless during the school year,"US Department of Education Local Education Agency data, via EDFacts Homeless Students Enrolled, School Year 2018/19","US Department of Education Local Education Agency data, via EDFacts Homeless Students Enrolled, School Year 2018/19 & 2014/15","The number homeless is based on the number of children (age 3 through 12th grade) who are enrolled in public schools and whose primary nighttime residence at any time during a school year was a shelter, transitional housing, or awaiting foster care placement; unsheltered (e.g., a car, park, campground, temporary trailer, or abandoned building); a hotel or motel because of the lack of alternative adequate accommodations; or in housing of other people because of loss of housing, economic hardship, or a similar reason. The share is the percent of all public school students in those schools experiencing homelessness. ",,
family,family,Family structure and stability,famstruc,famstruc_quality,1,race_ethnicity,Metric: Share of children by living arrangements,"American Community Survey (ACS) Public Use Microdata Sample (PUMS), 2018","American Community Survey (ACS) Public Use Microdata Sample (PUMS), 2018 (5-yr)","The share of children living in each of six different living arrangements (that sum to 100 percent): two married biological/adoptive parents; one biological or adoptive parent and that parent's current spouse/partner; one biological or adoptive parent and at least one other adult; one biological or adoptive parent; at least two adults, but no parent; and all other.",,
family,health,Access to and utilization of health services,hpsa_yn,hpsa_yn_quality,3,none,Metric: Health Professional Shortage Area (1=yes/0=no)  for primary care providers,"Health Resources and Services Administration Health Professional Shortage Areas for Primary Care, 2020 ",,"The Division of Policy and Shortage Designation through the US Department of Health and Human Services (HHS) designates areas as a health shortage area for primary care. A score is calculated from 0 to 25, where the higher the score, the greater the shortage. Scores are based on the following criteria: population-to-provider ratio, percent of the population below 100 percent of the federal poverty level, infant health index (based on infant mortality rate or low birth weight rate), and travel time to the nearest source of care. Any geography designated as an HPSA (i.e. score >0), we indicate as '1'. Otherwise, a geography is '0', which means it is not an area with a shortage of primary care health professionals. ",,
family,health,Neonatal health,lbw,lbw_quality,1,race_ethnicity,Metric: Share of low-weight births ,"Centers for Disease Control and Prevention (CDC) National Center for Health Statistics (NCHS), Division of Vital Statistics, Natality public use data 2018 (via CDC WONDER)",,"The share of babies born weighing less than 5 pounds 8 ounces (<2,500 grams)  out of all births. ",,
communities,local_governance,Political participation,election_turnout,election_turnout_quality,3,none,Metric: Share of the voting-eligible population who turn out to vote,"Massachusetts Institute of Technology (MIT) Election Data and Science Lab, 2016; American Community Survey (Citizen Voting Age Population (CVAP) Special Tabulation), 2016 (5-yr) ",,This metric measures the share of the voting-eligible population that voted in the most recent local elections in a year with a presidential election.,,
communities,local_governance,Descriptive representation among local officials,white_nonhispanic|black_nonhispanic|hispanic_representation|asian_other,white_nonhispanic_quality|black_nonhispanic_quality|hispanic_representation_quality|asian_other_quality,3,none,Metric: Ratio of the share of local elected officials of a racial/ethnic group to the share of residents of the same racial/ethnic group,"International City/County Management Association (ICMA) Municipal Form of Government Survey, 2018; American Community Survey, 2018 (5-yr)",,"This metric measures the ratio of the share of the city council/county board from specific racial and ethnic groups and the share of city/county residents from those racial/ethnic groups. We focus on three race/ethnic groups: non-Black non-Hispanic, Black non-Hispanic, and Hispanic. ",,
