year,state,county,state_name,county_name,population,subgroup_type,subgroup,share_in_preschool,share_in_preschool_quality,share_hs_degree,share_hs_degree_quality,rate_learning,rate_learning_lb,rate_learning_ub,rate_learning_quality,pctl_income_20,pctl_income_50,pctl_income_80,pctl_income_quality,rate_low_birth_weight,rate_low_birth_weight_lb,rate_low_birth_weight_ub,rate_low_birth_weight_quality,share_employed,share_employed_quality
2013,36,029,New York,Erie County,954236,all,All,NA,NA,NA,NA,0.97238243,0.93197864,1.0127863,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,36,029,New York,Erie County,954236,race-ethnicity,"Black, Non-Hispanic",NA,NA,NA,NA,0.87358296,0.80326945,0.94389647,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,36,029,New York,Erie County,954236,race-ethnicity,Hispanic,NA,NA,NA,NA,1.0192722,0.84737688,1.1911676,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,36,029,New York,Erie County,954236,race-ethnicity,Other Races and Ethnicities,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,36,029,New York,Erie County,954236,race-ethnicity,"White, Non-Hispanic",NA,NA,NA,NA,0.99391675,0.95157456,1.0362589,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,36,055,New York,Monroe County,759443,all,All,NA,NA,NA,NA,0.98343229,0.9396655,1.027199,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,36,055,New York,Monroe County,759443,race-ethnicity,"Black, Non-Hispanic",NA,NA,NA,NA,0.80963391,0.73914516,0.88012266,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,36,055,New York,Monroe County,759443,race-ethnicity,Hispanic,NA,NA,NA,NA,0.86613041,0.76324028,0.96902055,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,36,055,New York,Monroe County,759443,race-ethnicity,Other Races and Ethnicities,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,36,055,New York,Monroe County,759443,race-ethnicity,"White, Non-Hispanic",NA,NA,NA,NA,1.0387496,0.9901433,1.0873559,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,36,067,New York,Onondaga County,476516,all,All,NA,NA,NA,NA,1.0209713,0.96680927,1.0751333,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,36,067,New York,Onondaga County,476516,race-ethnicity,"Black, Non-Hispanic",NA,NA,NA,NA,0.79179609,0.69598794,0.88760424,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,36,067,New York,Onondaga County,476516,race-ethnicity,Hispanic,NA,NA,NA,NA,0.84863979,0.57942218,1.1178575,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,36,067,New York,Onondaga County,476516,race-ethnicity,Other Races and Ethnicities,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,36,067,New York,Onondaga County,476516,race-ethnicity,"White, Non-Hispanic",NA,NA,NA,NA,1.0660725,1.0101159,1.1220291,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,39,113,Ohio,Montgomery County,537309,all,All,NA,NA,NA,NA,1.0185956,0.96553284,1.0716584,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
