year,state,geo,state_name,geo_name,subgroup_type,subgroup,rate_learning,rate_learning_lb,rate_learning_ub,rate_learning_quality
2017,36,029,New York,Erie County,all,All,NA,NA,NA,NA
2017,36,029,New York,Erie County,income,Low Income,NA,NA,NA,NA
2017,36,029,New York,Erie County,income,Not Low-Income,NA,NA,NA,NA
2017,36,055,New York,Monroe County,all,All,1.0615398,0.84833783,1.2747418,3
2017,36,055,New York,Monroe County,income,Low Income,1.2000092,0.9250105,1.4750079,3
2017,36,055,New York,Monroe County,income,Not Low-Income,1.1332206,0.88582307,1.380618,3
2017,36,067,New York,Onondaga County,all,All,0.81974083,0.55960989,1.0798718,3
2017,36,067,New York,Onondaga County,income,Low Income,1.0008789,0.65548778,1.3462701,3
2017,36,067,New York,Onondaga County,income,Not Low-Income,0.79822767,0.50125962,1.0951957,3
2017,39,113,Ohio,Montgomery County,all,All,0.9958902,0.94963944,1.042141,1
2017,39,113,Ohio,Montgomery County,income,Low Income,0.91941565,0.86507875,0.97375256,1
2017,39,113,Ohio,Montgomery County,income,Not Low-Income,0.99917567,0.93965417,1.0586971,1
2017,39,153,Ohio,Summit County,all,All,0.94801754,0.90115219,0.99488288,1
2017,39,153,Ohio,Summit County,income,Low Income,0.83282191,0.77575487,0.88988894,1
2017,39,153,Ohio,Summit County,income,Not Low-Income,0.99718302,0.93948245,1.0548836,1
2017,55,079,Wisconsin,Milwaukee County,all,All,1.0845345,1.0521531,1.1169159,1
2017,55,079,Wisconsin,Milwaukee County,income,Low Income,1.0705993,1.0344808,1.1067178,1
2017,55,079,Wisconsin,Milwaukee County,income,Not Low-Income,1.0138026,0.96858621,1.0590191,1
2016,36,029,New York,Erie County,all,All,0.97741956,0.79738259,1.1574565,3
2016,36,029,New York,Erie County,income,Low Income,0.99251539,0.76416528,1.2208655,3
2016,36,029,New York,Erie County,income,Not Low-Income,0.75972098,0.5285663,0.99087566,3
2016,36,055,New York,Monroe County,all,All,0.95745063,0.8603884,1.0545129,3
2016,36,055,New York,Monroe County,income,Low Income,0.90958077,0.78505766,1.0341039,3
2016,36,055,New York,Monroe County,income,Not Low-Income,0.95280659,0.82949287,1.0761204,3
2016,36,067,New York,Onondaga County,all,All,0.99839187,0.87683153,1.1199522,3
2016,36,067,New York,Onondaga County,income,Low Income,1.0129194,0.85455859,1.1712803,3
2016,36,067,New York,Onondaga County,income,Not Low-Income,0.85006082,0.69752198,1.0025996,3
2016,39,113,Ohio,Montgomery County,all,All,1.0310318,0.99164551,1.0704181,1
2016,39,113,Ohio,Montgomery County,income,Low Income,0.95125765,0.90493566,0.99757963,1
2016,39,113,Ohio,Montgomery County,income,Not Low-Income,1.0598874,1.0047309,1.1150439,1
2016,39,153,Ohio,Summit County,all,All,1.0273148,0.98692524,1.0677043,1
2016,39,153,Ohio,Summit County,income,Low Income,0.90927178,0.8588959,0.95964766,2
2016,39,153,Ohio,Summit County,income,Not Low-Income,1.0480196,0.99417478,1.1018646,2
2016,55,079,Wisconsin,Milwaukee County,all,All,1.1233897,1.0928766,1.1539029,1
2016,55,079,Wisconsin,Milwaukee County,income,Low Income,1.1398015,1.1058595,1.1737435,1
2016,55,079,Wisconsin,Milwaukee County,income,Not Low-Income,1.0033634,0.95674777,1.049979,1
2015,36,029,New York,Erie County,all,All,0.95757961,0.86645186,1.0487074,3
2015,36,029,New York,Erie County,income,Low Income,0.95288533,0.8394835,1.0662872,3
2015,36,029,New York,Erie County,income,Not Low-Income,0.89426732,0.78047311,1.0080615,3
2015,36,055,New York,Monroe County,all,All,0.92145222,0.82227004,1.0206344,3
2015,36,055,New York,Monroe County,income,Low Income,0.76588804,0.64113545,0.89064062,3
2015,36,055,New York,Monroe County,income,Not Low-Income,0.92734617,0.80509233,1.0496,3
2015,36,067,New York,Onondaga County,all,All,0.97954679,0.85765344,1.1014402,3
2015,36,067,New York,Onondaga County,income,Low Income,0.97635293,0.81705159,1.1356543,3
2015,36,067,New York,Onondaga County,income,Not Low-Income,0.92632169,0.77925426,1.0733892,3
2015,39,113,Ohio,Montgomery County,all,All,1.0211073,0.98114681,1.0610678,1
2015,39,113,Ohio,Montgomery County,income,Low Income,0.94367409,0.89845079,0.98889738,1
2015,39,113,Ohio,Montgomery County,income,Not Low-Income,1.0860243,1.0308781,1.1411705,1
2015,39,153,Ohio,Summit County,all,All,1.0186704,0.97812551,1.0592153,1
2015,39,153,Ohio,Summit County,income,Low Income,0.94566214,0.89750415,0.99382013,1
2015,39,153,Ohio,Summit County,income,Not Low-Income,1.0367026,0.98322511,1.0901802,1
2015,55,079,Wisconsin,Milwaukee County,all,All,1.1531087,1.1217674,1.18445,1
2015,55,079,Wisconsin,Milwaukee County,income,Low Income,1.1555613,1.1219568,1.1891658,1
2015,55,079,Wisconsin,Milwaukee County,income,Not Low-Income,1.0354522,0.98795664,1.0829479,1
2014,36,029,New York,Erie County,all,All,1.0151621,0.95661259,1.0737116,2
2014,36,029,New York,Erie County,income,Low Income,0.92222613,0.84794343,0.99650884,2
