year,state,county,environmental,subgroup,subgroup_type,environmental_quality
2014,1,1,5.738374202,All,all,1
2014,1,1,NA,High Poverty,poverty,NA
2014,1,1,5.74124848,Low Poverty,poverty,1
2014,1,3,37.74025784,All,all,1
2014,1,3,NA,High Poverty,poverty,NA
2014,1,3,37.68677143,Low Poverty,poverty,1
2014,1,5,8.555035215,All,all,1
2014,1,5,NA,High Poverty,poverty,NA
2014,1,5,8.548767883,Low Poverty,poverty,1
2014,1,7,11.90169073,All,all,1
2014,1,7,NA,High Poverty,poverty,NA
2014,1,7,11.9580096,Low Poverty,poverty,1
2014,1,9,25.64713332,All,all,1
2014,1,9,NA,High Poverty,poverty,NA
2014,1,9,25.33079188,Low Poverty,poverty,1
2014,1,11,5.955017301,All,all,1
2014,1,11,NA,High Poverty,poverty,NA
2014,1,11,5.88844819,Low Poverty,poverty,1
2014,1,13,13.95219997,All,all,1
2014,1,13,NA,High Poverty,poverty,NA
2014,1,13,13.97842207,Low Poverty,poverty,1
2014,1,15,15.32320414,All,all,1
2014,1,15,12.72484313,High Poverty,poverty,1
2014,1,15,15.5406932,Low Poverty,poverty,1
2014,1,17,11.41579889,All,all,1
2014,1,17,NA,High Poverty,poverty,NA
2014,1,17,11.41985001,Low Poverty,poverty,1
2014,1,19,22.98533139,All,all,1
2014,1,19,NA,High Poverty,poverty,NA
2014,1,19,22.72899326,Low Poverty,poverty,1
2014,1,21,12.59895845,All,all,1
2014,1,21,NA,High Poverty,poverty,NA
2014,1,21,12.62920198,Low Poverty,poverty,1
2014,1,23,19.65620847,All,all,1
2014,1,23,NA,High Poverty,poverty,NA
2014,1,23,19.73468026,Low Poverty,poverty,1
2014,1,25,14.20299238,All,all,1
2014,1,25,NA,High Poverty,poverty,NA
2014,1,25,14.03287491,Low Poverty,poverty,1
2014,1,27,19.12565176,All,all,1
2014,1,27,NA,High Poverty,poverty,NA
2014,1,27,19.20277393,Low Poverty,poverty,1
2014,1,29,23.53302201,All,all,1
2014,1,29,NA,High Poverty,poverty,NA
2014,1,29,23.82335009,Low Poverty,poverty,1
2014,1,31,14.60572487,All,all,1
2014,1,31,NA,High Poverty,poverty,NA
2014,1,31,14.62438209,Low Poverty,poverty,1
2014,1,33,31.88955974,All,all,1
2014,1,33,NA,High Poverty,poverty,NA
2014,1,33,31.83374133,Low Poverty,poverty,1
2014,1,35,12.78167116,All,all,1
2014,1,35,10,High Poverty,poverty,1
2014,1,35,14.47285033,Low Poverty,poverty,1
2014,1,37,14.74953321,All,all,1
2014,1,37,NA,High Poverty,poverty,NA
2014,1,37,14.77439233,Low Poverty,poverty,1
2014,1,39,16.49185608,All,all,1
2014,1,39,19,High Poverty,poverty,1
