state,county,state_name,county_name,population,subgroup_type,subgroup,share_debt_coll,share_debt_coll_ub,share_debt_coll_lb,share_debt_coll_quality,transit_cost,transit_trips,transit_cost_quality,transit_trips_quality
1,1,Alabama,Autauga County,55601,all,All,0.3600439,0.391232,0.3288559,1,16.42702358,18.49798173,1,1
1,1,Alabama,Autauga County,55601,race-ethnicity,Mixed Race and Ethnicity,NA,NA,NA,NA,13,9,1,1
1,1,Alabama,Autauga County,55601,race-ethnicity,Majority Non-White,NA,NA,NA,3,15.25327952,27.71039354,1,1
1,1,Alabama,Autauga County,55601,race-ethnicity,"Majority White, Non-Hispanic",0.3527357,0.3847083,0.3207631,1,16.90722519,16.35591791,1,1
1,3,Alabama,Baldwin County,218022,all,All,0.2832043,0.2984458,0.2679628,1,27.46965081,22.50533161,1,1
1,3,Alabama,Baldwin County,218022,race-ethnicity,Mixed Race and Ethnicity,NA,NA,NA,NA,23,18,1,1
1,3,Alabama,Baldwin County,218022,race-ethnicity,Majority Non-White,NA,NA,NA,3,30.14634146,14.54878049,1,1
1,3,Alabama,Baldwin County,218022,race-ethnicity,"Majority White, Non-Hispanic",0.2842748,0.2997259,0.2688237,1,27.39068497,23.27821505,1,1
1,5,Alabama,Barbour County,24881,all,All,0.4209115,0.4710825,0.3707406,1,1.286894075,7.156912029,1,1
1,5,Alabama,Barbour County,24881,race-ethnicity,Mixed Race and Ethnicity,NA,NA,NA,NA,1,6.557777778,1,1
1,5,Alabama,Barbour County,24881,race-ethnicity,Majority Non-White,NA,NA,NA,3,1.383029722,3.485139022,1,1
1,5,Alabama,Barbour County,24881,race-ethnicity,"Majority White, Non-Hispanic",NA,NA,NA,3,1,39,1,1
1,7,Alabama,Bibb County,22400,all,All,0.4337748,0.4897634,0.3777862,1,21.52949183,26.36978221,1,1
1,7,Alabama,Bibb County,22400,race-ethnicity,Mixed Race and Ethnicity,NA,NA,NA,NA,22,16,1,1
1,7,Alabama,Bibb County,22400,race-ethnicity,Majority Non-White,NA,NA,NA,3,NA,NA,NA,NA
1,7,Alabama,Bibb County,22400,race-ethnicity,"Majority White, Non-Hispanic",0.417004,0.4786198,0.3553883,1,21.27936067,31.88255733,1,1
1,9,Alabama,Blount County,57840,all,All,0.3421965,0.3738328,0.3105603,1,20.31153714,20.54347826,1,1
1,9,Alabama,Blount County,57840,race-ethnicity,Mixed Race and Ethnicity,NA,NA,NA,NA,NA,NA,NA,NA
1,9,Alabama,Blount County,57840,race-ethnicity,Majority Non-White,NA,NA,NA,3,NA,NA,NA,NA
1,9,Alabama,Blount County,57840,race-ethnicity,"Majority White, Non-Hispanic",0.3414352,0.3730728,0.3097976,1,20.31153714,20.54347826,1,1
1,11,Alabama,Bullock County,10138,all,All,0.4657534,0.5469469,0.38456,1,0,9.226749336,1,1
