state,county,state_name,county_name,population,subgroup_type,subgroup,share_debt_coll,share_debt_coll_ub,share_debt_coll_lb,share_debt_coll_quality,transit_cost,transit_trips,transit_cost_quality,transit_trips_quality,environmental,environmental_quality
13,121,Georgia,Fulton County,1050114,all,All,0.3416547,0.3489894,0.3343201,1,68.02273344191097,77.96081510780208,1,1,12.012587506592077,1
13,121,Georgia,Fulton County,1050114,race-ethnicity,Majority Non-White,0.5367855,0.5487257,0.5248454,1,66.51723623137265,76.55400233435574,1,1,10.459349434471562,1
13,121,Georgia,Fulton County,1050114,race-ethnicity,"Majority White, Non-Hispanic",0.1632021,0.1739745,0.1524297,1,67.95687237026648,81.67461430575035,1,1,13.625142655133857,1
13,121,Georgia,Fulton County,1050114,race-ethnicity,Mixed Race and Ethnicity,NA,NA,NA,NA,74.20584652862362,81.3541136086812,1,1,12.988672021356312,1
17,031,Illinois,Cook County,5180493,all,All,0.3095272,0.3126573,0.3063971,1,85.16953015760537,81.46514934863622,1,1,8.496965038691908,1
17,031,Illinois,Cook County,5180493,race-ethnicity,Majority Non-White,0.4769413,0.4824116,0.471471,1,86.68338988138309,83.28290372895528,1,1,8.388832560057637,1
17,031,Illinois,Cook County,5180493,race-ethnicity,"Majority White, Non-Hispanic",0.1706004,0.1750028,0.166198,1,80.8752884643906,76.65749117551093,1,1,9.099573529744603,1
17,031,Illinois,Cook County,5180493,race-ethnicity,Mixed Race and Ethnicity,NA,NA,NA,NA,86.926032724581,82.92501629600167,1,1,7.540685073257649,1
24,510,Maryland,Baltimore city,602495,all,All,0.5132135,0.5232863,0.5031407,1,93.83018196794968,90.42464804552942,1,1,31.7112383511364,1
24,510,Maryland,Baltimore city,602495,race-ethnicity,Majority Non-White,0.5846523,0.5968656,0.572439,1,94.12762435646216,91.16502561980454,1,1,32.07583298009849,1
24,510,Maryland,Baltimore city,602495,race-ethnicity,"Majority White, Non-Hispanic",0.3363934,0.360115,0.3126719,1,93.18965352677291,89.93986828290541,1,1,31.10601627361173,1
24,510,Maryland,Baltimore city,602495,race-ethnicity,Mixed Race and Ethnicity,NA,NA,NA,NA,92.58103156708005,86.49619503945885,1,1,30.721996783189955,1
42,101,Pennsylvania,Philadelphia County,1584138,all,All,0.433035,0.4393457,0.4267243,1,93.0674719010734,92.837118164893,1,1,12.250980658340444,1
42,101,Pennsylvania,Philadelphia County,1584138,race-ethnicity,Majority Non-White,0.5560056,0.5646007,0.5474105,1,93.84743352369055,93.93439368251984,1,1,11.41068898279971,1
42,101,Pennsylvania,Philadelphia County,1584138,race-ethnicity,"Majority White, Non-Hispanic",0.2371361,0.2479827,0.2262895,1,90.544464958843,89.42891760904685,1,1,14.036796355942482,1
42,101,Pennsylvania,Philadelphia County,1584138,race-ethnicity,Mixed Race and Ethnicity,NA,NA,NA,NA,92.775879464586,92.17989506961727,1,1,12.059427287358416,1
